spend_id,date,spend_description,decision_log_id,currency,amount,exchange_rate,USD_equivalent,from_address,to_address,tx_reference,comment
1,20190301,Coinspect audit fee,19,BTC,4.482,3882.66,17402.08,3ChVP627KU5w4zu2rieFPF3wGXWQgmhvrs,17Du5PQfcLq1yeV8yw512M5UnkeZvTwe7f,https://www.blockchain.com/btc/tx/022feacd15899425ee5a164f6e67a3f8701ce4fecbad8bf4532f2576f172a468,30% advance payment
2,20190314,Donation to Ignotus Peverell for 3 months worth of work,27,GRIN,9593.296153967,2.70,25901.9,https://donation.grin-tech.org,-,1ed0e7c7-6f15-4ed6-97f2-b1c16a6af7f3,not enough grins for full 30k payment so rest to be completed when possible
3,20190304,Discourse forum operation costs,-,USD,3600,1,3600,-,-,-,As discussed and agreed between Igno Peverell and Blockcypher
4,20190412,Donation to Lehnberg,31,ETH,54.66472303,164.64,9000,0x16726940ecebdfb3c352c29bf2620f59ef919a3b,0x9471b084129b4974A1a0920EB39a1621966E3aF0,0x90f31886fd8a7cbaa6dce2bf2b935a12252983a705508597ce2931bb44d64b09, Combined with ETH/BTC conversion for the dev fund
5,20190412,Conversion of ETH to BTC,29,ETH,3.805276968,164.64,626.50,0x16726940ecebdfb3c352c29bf2620f59ef919a3b,0x9471b084129b4974A1a0920EB39a1621966E3aF0,0x90f31886fd8a7cbaa6dce2bf2b935a12252983a705508597ce2931bb44d64b09, Combined with Lehnberg donation
6,20190301,change,,BTC,16.30469134,3859.58,62929.26,3ChVP627KU5w4zu2rieFPF3wGXWQgmhvrs,3JAqRiaWgFvARgpDL31eZ696Dt59nFUYjw,022feacd15899425ee5a164f6e67a3f8701ce4fecbad8bf4532f2576f172a468,change as part of paying coinspect deposit
7,20181030,test,,BTC,0.00024306,6334.27,1.54,3ChVP627KU5w4zu2rieFPF3wGXWQgmhvrs,3LZenFxpNp7iV1cnMwJRp8HwNwGxPxqQYA ,6b8ae103bd69823d9db085d8b62ab5beced1f941106972f1afa38e3a2076765d,test spend transaction
8,20181002,test,,BTC,0.00119303,6556.10,7.82,bc1qdgs8vkpzr256qjlzlfht72z3mhcrdrt6wj2rfjw39j8us24gz8uq78qj65,,23ee4a04840cba9e2b5a888a99e4233f70826637267610acced3b786708efde6,test spend transaction
9,20190430,Rest of donation to Ignotus Peverell,27,GRIN,1888,2.17,4096.96,https://donation.grin-tech.org,-,b2c00ec7-54ea-4af1-8f39-758fc86c1ef8,Completes payment #2 to a total of 30k USD
10,20190524,Rest of coinspect audit fee,19,BTC,10.458,7987.37,83531.92,3JAqRiaWgFvARgpDL31eZ696Dt59nFUYjw,3QuuyFEp6BKwnMsnaXWRygmbUwgXZorcRZ,cdff4e87fb9adf4e0d1ca96c5cdb88b39c28a82bc767ac66960e772403abbd5e,remaining 70% payment
11,20190829,Donation to yeastplume,42,BTC,2.98,9510.20,28340.39,3ExSdWi79ibKC1hza7RQpS7K8NGa7Swiib,3Pt5aRRYFJG6mfXXKn3spe3VKPicMcSLZC,1a6ae870ec0208f6dce05b3d31667d352a0ceec77e95bb9819f2e7c27d1895e9,partial payment
12,20190829,Donation to yeastplume,42,GRIN,3156,1.85,5838.6,https://council-donations.yeastplume.org,-,N/A, completes payment
13,20190829,change,,BTC,2.86598119,9510.20,27256.05,3ExSdWi79ibKC1hza7RQpS7K8NGa7Swiib,3QcAQw7KUgynCE4evR3kEN6EBa6tHn4DpS,1a6ae870ec0208f6dce05b3d31667d352a0ceec77e95bb9819f2e7c27d1895e9,change as part of yeastplume payment
14,20191011,Donation to lehnberg,46,BTC,0.88093929,8321.76,7330.97,3QcAQw7KUgynCE4evR3kEN6EBa6tHn4DpS,1LBNGUGS1oBi9yKi9WEGCJQDboEgQtmokM,e386338606a377505f812a560f138b84c458a042487d1f6e4e80fab9c1db3aec,full payment
15,20191011,change,,BTC,1.98493859,8321.76,16518.18,3QcAQw7KUgynCE4evR3kEN6EBa6tHn4DpS,3DW7kZqb3h9mkZnbQ9eEAQHWjeYujhGDV5,e386338606a377505f812a560f138b84c458a042487d1f6e4e80fab9c1db3aec,change as part of lehnberg payment
16,20191113,consolidation,,BTC,63.29292937,8808.26,557500.58,3ChVP627KU5w4zu2rieFPF3wGXWQgmhvrs,bc1qecw954uappnwhle6tmafqskn6vxmpr6lmmuwfwldphfxplcshgnssy9kmx,24b6d9c63eb853ae693341e83eead8f45898a98748e910a32d8697ee380bd6e1,Moving of mu-sig wallets (done in separate payments)
17,20191113,consolidation,,BTC,58.74615540,8808.26,517451.41,bc1qdgs8vkpzr256qjlzlfht72z3mhcrdrt6wj2rfjw39j8us24gz8uq78qj65,bc1qecw954uappnwhle6tmafqskn6vxmpr6lmmuwfwldphfxplcshgnssy9kmx,09ff810d56da7fc0ba9aeea5d91cf3a798f634964d94ce7,
18,20191210,Donation to tromp,,GRIN,1000.001,1.17,1170,https://council-donations.yeastplume.org,-,ee9f63a5-d8bb-41df-9f14-1e83368e0139,reimbursement for EUR 1024 c-base donation for grincon
19,20200107,yeastplume Q1 2020 funding,49,BTC,4.5,7768.23,34957.04,bc1qecw954uappnwhle6tmafqskn6vxmpr6lmmuwfwldphfxplcshgnssy9kmx,3MWCNS6JUDZkpAnBiB8XfyaJQaBuQn19yH,5beb648dd9829b19afc755c5b920cd331b4b1c3c2b1b43382bb53faefdd63e8b,full payment
20,20200115,lehnberg Q1 2020 funding,52,BTC,1.10362282,8807.01,9719.62,39hgKkhfPFpwKRQ6yARGwU2uuVay69NKu4,1DUeRhn3CuhFX9ygNsEmRVLNmsh2aiju1q,385f1236b7a56a054dd60a393528af733efd714939aa6cdabcf73adf9a969a6f,full payment
