income_id,date,type,source,currency,amount,exchange_rate,USD_equivalent,to_address,tx_reference,comment, url
1,20190301,donation,Minerbabe,GRIN,2162.16,3.2,6919.04,https://donations.grin-tech.org,18f15e60-fa6c-400a-bad5-1821555839b5,Dev fee received by kbminer,
2,20190304,donation,BlockCypher,GRIN,1281.3,3.3,4228.29,https://donations.grin-tech.org,8df506ff-6058-4d74-8028-e5ba5f3f28df,Grinmint 0.5% dev fee,
3,20190303,donation,Sparkpool,GRIN,5500,3.63,20000.29,https://donations.grin-tech.org,817e0a69-5ab0-421f-afc3-406f61dd2bb4,Sparkpool & anonymous miner donation,
4,20190304,donation,BlockCypher,USD,3600,1,3600,Discourse,-,BlockCypher financing last 6 months and next 2 years (so 30 months) of Discourse subscription (120 USD/month),
5,20190301,donation,Grin-pool.org,GRIN,17.087656585,3.27,55.88,https://donations.grin-tech.org,-,Mining pool february donation,https://hendi.io/february-2019-our-first-donation-to-grin/
6,20190309,donation,Bminer,BTC,3.2336,4017.3,12990.34,3ChVP627KU5w4zu2rieFPF3wGXWQgmhvrs,ce86a17cfa256efc9a72190aee223ec75a38e03fc86ba2858c7c2d10d6dddfc3,Donation,
8,20181220,donation,Aurel,BTC,6.1169,4134.44,25289.96,3ChVP627KU5w4zu2rieFPF3wGXWQgmhvrs,https://www.blockchain.com/btc/tx/85251acf39fb801d04bd285ce91c115b875edc29a36103975212043f5e5ff2c4,Security audit funding campaign, https://www.grin-forum.org/t/security-audit-funding-campaign/962
14,20180314,donation,GGM,GRIN,630.965700337,2.70,1703.61,https://donations.grin-tech.org,a1ef9ba5-4fd8-4ffb-bcde-19c26e21b366,Dev miner fee on Grinmint grincouncil account (mostly or only GGM),
15,20190313,donation,Daisuke Shosaki,BTC,0.03939,3906.72,153.89,3ChVP627KU5w4zu2rieFPF3wGXWQgmhvrs,https://live.blockcypher.com/btc/tx/fcc646fa3d97af9d80dbecf5812d023c2edfd31b99f9cf592076554b7ac01496/,Japanese Grin supporter,
16,20190330,donation,Liu Jie,GRIN,500,3.24,1620,https://donations.grin-tech.org,refer the prize of Grin Chinese Naming event as the donation to Grin Fund,https://www.grin-forum.org/t/give-grin-a-chinese-name-grin/4376/105,
17,20190128,donation,Bminer,BTC,4.41,3470.45,15304.68,3ChVP627KU5w4zu2rieFPF3wGXWQgmhvrs,8b931ad0553b0e05ca8f52dd7c15ba53ed2374638686a152a94047ed7cb868f0,Shared miner dev fees,
